,year,km_driven,owner,seller_type,seats,fuel,transmission,mileage,engine,max_power,selling_price
5885,2011.0,110000.0,Fourth & Above Owner,Individual,5.0,Petrol,Manual,19.7,796.0,46.3,1478.07
5886,2016.0,70000.0,First Owner,Individual,7.0,Diesel,Manual,15.4,1997.0,120.0,8977.47
5888,2010.0,166000.0,Third Owner,Individual,8.0,Diesel,Manual,12.05,2179.0,120.0,
5889,2011.0,100000.0,Third Owner,Individual,5.0,Petrol,Manual,20.36,1197.0,78.9,2604.8
5892,2010.0,53000.0,Second Owner,Individual,5.0,Petrol,Manual,21.1,1197.0,85.8,187.43
5893,2006.0,106000.0,Second Owner,Individual,5.0,Petrol,Manual,17.3,993.0,60.0,1817.3
5894,2005.0,96000.0,Second Owner,Individual,5.0,Petrol,Manual,13.4,88.0,125.0,3331.72
5895,2019.0,10000.0,First Owner,Individual,5.0,Petrol,Manual,21.01,1197.0,81.8,6736.13
5896,2016.0,37000.0,First Owner,Individual,5.0,Petrol,Manual,20.85,1197.0,83.14,
5897,2018.0,20000.0,First Owner,Individual,7.0,Diesel,Automatic,16.0,2179.0,138.0,18173.01
5898,2017.0,35000.0,First Owner,Individual,5.0,Petrol,Manual,17.71,1197.0,78.9,6651.32
5899,2016.0,50000.0,First Owner,Individual,5.0,Petrol,Manual,18.6,1197.0,81.83,7632.66
5900,2020.0,5000.0,First Owner,Individual,2.0,Diesel,Manual,0.0,2523.0,70.0,8226.31
5902,2017.0,47000.0,Second Owner,Individual,5.0,Diesel,Manual,19.67,1582.0,126.2,13629.76
5903,2017.0,71000.0,First Owner,Individual,5.0,Diesel,Manual,27.39,1248.0,74.0,
5904,2017.0,50000.0,First Owner,Individual,5.0,Diesel,Manual,25.6,1498.0,97.9,12721.1
5905,2015.0,57000.0,First Owner,Individual,5.0,Diesel,Manual,23.0,1248.0,88.7,185.91
5906,2010.0,43000.0,First Owner,Individual,5.0,Petrol,Manual,18.9,998.0,67.1,419205.71
5907,2014.0,60000.0,First Owner,Individual,5.0,Diesel,Manual,23.4,1248.0,74.0,5694.21
5909,2015.0,40000.0,First Owner,Individual,5.0,Diesel,Manual,22.54,1396.0,88.73,6663.44
5911,2015.0,30000.0,First Owner,Individual,5.0,Petrol,Automatic,18.0,1497.0,1022.43,11509.57
5912,2015.0,160000.0,Second Owner,Individual,5.0,Diesel,Manual,22.54,1396.0,88.73,6663.44
5913,2007.0,147500.0,Second Owner,Individual,7.0,Diesel,Manual,12.8,2494.0,102.0,3271.14
5914,2013.0,90000.0,Third Owner,Individual,5.0,Diesel,Manual,22.07,1199.0,73.9,3392.29
5915,2015.0,70000.0,Second Owner,Individual,5.0,Diesel,Manual,28.09,1248.0,88.5,7632.66
5916,2007.0,70000.0,First Owner,Individual,5.0,Petrol,Manual,17.7,1497.0,78.0,2665.37
5917,2014.0,120000.0,First Owner,Individual,7.0,Diesel,Manual,14.95,2489.0,93.7,3876.91
5918,2013.0,75000.0,Second Owner,Individual,5.0,Petrol,Manual,21.1,814.0,55.2,2725.95
5919,2010.0,85000.0,Second Owner,Individual,5.0,Petrol,Manual,17.0,1497.0,118.0,4603.83
5920,2012.0,70000.0,Third Owner,Individual,5.0,Diesel,Manual,19.3,1248.0,73.9,4603.83
5922,2014.0,40000.0,Second Owner,Individual,7.0,Diesel,Manual,13.1,14247.0,141.0,7511.51
5923,2012.0,90000.0,First Owner,Individual,5.0,Diesel,Automatic,19.08,1582.0,126.32,6057.67
5924,2015.0,40000.0,First Owner,Individual,7.0,Diesel,Automatic,18.49,1493.0,100.0,8480.74
5925,2015.0,138000.0,First Owner,Individual,5.0,Diesel,Manual,22.77,1498.0,98.59,6663.44
5926,2016.0,70000.0,First Owner,Individual,5.0,Diesel,Manual,25.2,1248.0,74.0,7269.2
5927,2019.0,30000.0,Second Owner,Individual,5.0,Petrol,Manual,19.44,999.0,75.0,6663.44
5928,2013.0,125000.0,Third Owner,Individual,5.0,Diesel,Manual,22.32,1582.0,126.3,5754.79
5929,2015.0,120000.0,Second Owner,Individual,5.0,Diesel,Manual,26.0,1498.0,1408.97,7450.93
5930,2013.0,180000.0,Second Owner,Individual,5.0,Diesel,Manual,23.4,14617.0,74.0,4664.41
5931,2015.0,20000.0,First Owner,Individual,5.0,Petrol,Manual,17.57,1193.0,88.7,6057.67
5932,2012.0,80000.0,First Owner,Individual,5.0,Diesel,Manual,19.87,1461.0,83.8,5451.9
5933,2014.0,110000.0,Second Owner,Individual,7.0,Diesel,Manual,12.99,2494.0,100.6,11751.87
5934,2013.0,,Second Owner,Individual,5.0,Diesel,Manual,,1582.0,126.32,7026.9
5935,2017.0,40000.0,First Owner,Individual,5.0,Diesel,Manual,23.59,1364.0,67.05,6663.44
5936,,30000.0,,Individual,5.0,Petrol,Manual,17.5,1199.0,88.7,9449.96
5937,2014.0,80000.0,First Owner,Individual,5.0,Diesel,Manual,25.01,1498.0,89.75,6057.67
5938,2011.0,140000.0,Second Owner,Individual,5.0,Diesel,Manual,20.0,1968.0,108.5,3271.14
5939,2017.0,25000.0,First Owner,Individual,5.0,Petrol,Manual,23.95,998.0,67.05,
5940,2017.0,20000.0,First Owner,Individual,5.0,Diesel,Manual,28.4,1248.0,74.02,9147.08
5941,2016.0,42323.0,First Owner,Dealer,5.0,Diesel,Manual,21.19,1396.0,88.76,7887.09
5943,2016.0,32000.0,First Owner,Dealer,5.0,Diesel,Manual,25.1,1248.0,88.5,8359.58
5944,2017.0,41232.0,First Owner,Dealer,5.0,Diesel,Manual,26.59,1248.0,74.0,7135.93
5946,2013.0,48000.0,Second Owner,Dealer,5.0,Diesel,Manual,21.7,4.0,98.96,5754.79
5947,2014.0,27233.0,First Owner,Dealer,5.0,Diesel,Manual,27.4,1498.0,98.63,5633.63
5948,2011.0,35000.0,First Owner,Individual,5.0,Petrol,Manual,15.0,1368.0,90.0,2725.95
5949,2005.0,200000.0,Second Owner,Individual,8.0,Diesel,Manual,12.8,2494.0,1037.13,3755.75
5950,2016.0,63000.0,First Owner,Dealer,9.0,Diesel,Manual,15.3,2956.0,83.8,5391.33
5952,2012.0,68240.0,First Owner,Dealer,7.0,Diesel,Manual,13.93,2956.0,138.1,5451.9
5953,2008.0,78000.0,First Owner,Dealer,7.0,Diesel,Manual,15.4,1997.0,120.0,5451.9
5955,2010.0,35000.0,First Owner,Dealer,5.0,Petrol,Manual,18.9,998.0,67.1,2423.07
5956,2018.0,9000.0,First Owner,Dealer,5.0,Petrol,Manual,19.1,,,7402.47
5957,2016.0,39000.0,First Owner,Dealer,5.0,Diesel,Manual,19.67,1582.0,126.2,
5958,2016.0,39000.0,First Owner,Dealer,5.0,Diesel,Manual,21.38,58.0,88.7,9995.15
5959,2015.0,92651.0,First Owner,Dealer,5.0,Diesel,Manual,21.7,1498.0,98.96,7257.09
5960,2018.0,28000.0,First Owner,Dealer,5.0,Petrol,Manual,16.1,1197.0,85.0,5936.52
5962,2009.0,80000.0,Third Owner,Individual,5.0,Petrol,Automatic,10.93,3498.0,272.0,12115.34
5963,2018.0,46000.0,First Owner,Individual,5.0,Diesel,Manual,19.67,1582.0,126.2,14986.67
5964,2013.0,70000.0,Second Owner,Individual,5.0,Diesel,Manual,22.07,1199.0,73.9,4240.37
5965,2000.0,56194.0,Fourth & Above Owner,Individual,4.0,Petrol,Manual,16.1,796.0,37.0,375.58
5966,2018.0,40000.0,First Owner,Individual,5.0,Petrol,Manual,22.0,1197.0,81.8,8420.16
5967,2015.0,40000.0,First Owner,Individual,5.0,Petrol,Manual,22.74,796.0,47.3,3271.14
5968,2016.0,120000.0,First Owner,Individual,7.0,Diesel,Manual,24.52,1248.0,88.5,9571.12
5969,2016.0,120000.0,First Owner,Individual,5.0,Diesel,Manual,25.2,1248.0,74.0,7148.05
5970,2017.0,120000.0,First Owner,Individual,5.0,Petrol,Automatic,21.21,1197.0,81.8,7693.24
5971,2015.0,110000.0,Second Owner,Individual,7.0,Diesel,Manual,15.96,2523.0,62.1,6542.28
5972,2012.0,67000.0,Second Owner,Individual,5.0,Diesel,Manual,23.08,,,3210.56
5973,2014.0,50000.0,First Owner,Individual,5.0,Diesel,Manual,23.4,1248.0,74.0,7269.2
5974,2012.0,100000.0,Second Owner,Individual,5.0,Diesel,Manual,22.32,1582.0,126.3,4967.28
5975,2015.0,80000.0,Second Owner,Individual,5.0,Diesel,Manual,23.59,1364.0,67.05,6360.55
5976,2011.0,50000.0,First Owner,Individual,5.0,Diesel,Manual,18.5,1399.0,1724.35,1817.3
5977,2007.0,,Third Owner,Individual,5.0,Petrol,Manual,,1298.0,85.0,666.34
5978,2011.0,70000.0,Second Owner,Individual,5.0,Petrol,Manual,14.0,796.0,35.0,1574.99
5979,2017.0,50000.0,First Owner,Individual,5.0,Diesel,Manual,24.3,1248.0,88.5,11206.69
5980,2017.0,65000.0,Second Owner,Individual,7.0,Diesel,Manual,21.04,1461.0,83.8,8359.58
5981,2012.0,200000.0,Second Owner,Individual,7.0,Diesel,Manual,20.77,1248.0,88.76,6784.59
5982,2018.0,7500.0,First Owner,Individual,5.0,Diesel,Manual,28.09,1248.0,88.5,11509.57
5983,2017.0,65000.0,Second Owner,Individual,7.0,Diesel,Manual,21.04,1461.0,83.8,8420.16
5984,2013.0,35000.0,Second Owner,Individual,5.0,Petrol,Manual,18.6,1197.0,85.8,5451.9
5985,2013.0,60000.0,First Owner,Individual,5.0,Diesel,Automatic,16.2,2993.0,235.0,24230.68
5986,2009.0,71000.0,First Owner,Individual,5.0,Petrol,Manual,16.1,1197.0,85.0,2786.52
5987,2017.0,30000.0,First Owner,Individual,5.0,Petrol,Manual,23.95,998.0,67.05,3634.6
5989,2008.0,80000.0,Second Owner,Individual,5.0,Diesel,Automatic,14.84,2143.0,170.0,8783.62
5990,2011.0,90000.0,Second Owner,Individual,5.0,Petrol,Manual,18.06,1198.0,75.0,2847.1
5991,,,,Individual,5.0,Petrol,Manual,,1197.0,81.83,
5992,2000.0,100000.0,Third Owner,Individual,4.0,Petrol,Manual,16.1,14204.0,37.0,787.5
5994,2018.0,30000.0,First Owner,Individual,5.0,Diesel,Manual,25.5,1498.0,98.6,10104.19
5995,2012.0,120000.0,First Owner,Individual,7.0,Diesel,Manual,15.96,2523.0,62.1,5209.6
5996,2010.0,120000.0,Second Owner,Individual,5.0,Diesel,Manual,17.8,1248.0,75.0,4361.52
5997,2014.0,70000.0,First Owner,Individual,5.0,Petrol,Manual,21.1,814.0,55.2,2907.68
5998,2016.0,210000.0,First Owner,Individual,5.0,Diesel,Manual,25.2,1248.0,1045.84,2544.22
5999,2010.0,148000.0,Second Owner,Individual,5.0,Diesel,Manual,19.09,,,1635.57
6000,2017.0,54188.0,First Owner,Individual,7.0,Diesel,Manual,18.49,1493.0,100.0,8480.74
6002,2012.0,90000.0,First Owner,Individual,5.0,Diesel,Manual,20.5,1598.0,103.5,5149.02
6003,2011.0,,Third Owner,Individual,5.0,Petrol,Manual,,1199.0,79.4,1817.3
6004,2014.0,40000.0,First Owner,Individual,5.0,Petrol,Manual,21.1,814.0,55.2,2604.8
6005,2014.0,35000.0,First Owner,Individual,5.0,Petrol,Manual,20.63,1198.0,67.0,
6006,2017.0,20000.0,First Owner,Individual,5.0,Petrol,Manual,23.01,999.0,67.0,3998.06
6007,2007.0,144000.0,Second Owner,Individual,5.0,LPG,Manual,15.26,796.0,32.8,654.23
6008,2014.0,54043.0,First Owner,Dealer,5.0,Petrol,Automatic,18.9,1197.0,81.86,4531.14
6009,2012.0,,First Owner,Dealer,5.0,Diesel,Automatic,,1582.0,126.32,6651.32
6010,2016.0,42000.0,Second Owner,Individual,5.0,Diesel,Manual,19.09,1405.0,1548.88,
6011,2013.0,35582.0,First Owner,Dealer,5.0,Petrol,Manual,18.5,1197.0,82.85,5524.58
6012,2013.0,54327.0,Second Owner,Dealer,5.0,Petrol,Automatic,17.2,1197.0,103.6,5488.25
6013,2016.0,7949.0,First Owner,Dealer,5.0,Petrol,Manual,17.0,1198.0,73.75,7014.78
6014,2010.0,59734.0,First Owner,Dealer,5.0,Petrol,Automatic,16.95,1197.0,78.9,3125.76
6015,2012.0,49185.0,First Owner,Dealer,5.0,Petrol,Manual,16.8,1497.0,116.4,
6016,2011.0,56389.0,First Owner,Dealer,5.0,Petrol,Manual,20.36,1197.0,78.9,3174.22
6017,2013.0,58245.0,First Owner,Dealer,5.0,Petrol,Manual,16.47,1198.0,73.9,4712.87
6018,2015.0,36422.0,First Owner,Dealer,5.0,Petrol,Manual,18.44,1198.0,75.0,4191.91
6019,2011.0,42535.0,First Owner,Dealer,5.0,Petrol,Manual,16.7,1198.0,88.8,4107.1
6020,2011.0,40736.0,First Owner,Dealer,5.0,Petrol,Automatic,16.95,1197.0,78.9,3295.37
6021,2012.0,56246.0,First Owner,Dealer,5.0,Petrol,Manual,18.6,1197.0,85.8,4470.56
6022,2011.0,55403.0,First Owner,Dealer,5.0,Petrol,Manual,18.6,1197.0,85.8,3355.95
6023,2018.0,30000.0,First Owner,Individual,5.0,Petrol,Manual,20.3,1199.0,84.0,6481.71
6024,2015.0,67000.0,First Owner,Individual,5.0,Petrol,Manual,23.95,998.0,67.05,3210.56
6025,2013.0,70000.0,First Owner,Individual,5.0,Petrol,Manual,17.01,1591.0,121.3,4846.14
6027,2019.0,7500.0,First Owner,Individual,5.0,Petrol,Manual,18.6,1197.0,81.86,8080.93
6028,2011.0,80000.0,Second Owner,Individual,7.0,Diesel,Manual,11.57,2179.0,138.1,3634.6
6029,2012.0,186000.0,First Owner,Individual,5.0,Diesel,Manual,23.57,1396.0,70.0,138.1
6030,2016.0,110000.0,Second Owner,Individual,5.0,Diesel,Manual,25.0,1396.0,69.0,2423.07
6031,2005.0,120000.0,Third Owner,Individual,5.0,Diesel,Manual,17.8,1399.0,68.0,1817.3
6032,,105358.0,,Individual,5.0,Diesel,Manual,17.8,1399.0,67.0,
6034,2010.0,49200.0,Second Owner,Individual,5.0,Petrol,Manual,19.81,1086.0,68.05,1720.38
6036,2014.0,40000.0,Second Owner,Individual,7.0,Diesel,Manual,24.2,1498.0,98.6,7269.2
6037,2017.0,40000.0,First Owner,Individual,7.0,Diesel,Manual,18.49,1493.0,100.0,8480.74
6038,2013.0,70000.0,First Owner,Individual,5.0,Petrol,Manual,18.6,1199.0,1082.02,2423.07
6039,2016.0,110000.0,First Owner,Individual,5.0,Diesel,Manual,19.67,1582.0,126.2,10903.8
6040,2014.0,100000.0,First Owner,Individual,5.0,Petrol,Manual,23.95,998.0,67.05,2665.37
6041,2018.0,10000.0,Second Owner,Individual,5.0,Petrol,Automatic,18.9,1197.0,81.86,7874.97
6042,2017.0,70000.0,First Owner,Individual,7.0,Diesel,Automatic,15.04,2755.0,174.5,37557.55
6043,2016.0,100600.0,Second Owner,Individual,8.0,Diesel,Manual,13.68,,,18173.01
6044,2012.0,50000.0,First Owner,Individual,5.0,Diesel,Automatic,16.09,1995.0,184.0,21807.61
6045,2014.0,136000.0,First Owner,Individual,7.0,Diesel,Manual,15.1,2179.0,140.0,
6046,2017.0,48000.0,Second Owner,Individual,5.0,Diesel,Automatic,17.9,2143.0,136.0,25442.21
6047,2010.0,110000.0,Third Owner,Individual,5.0,Diesel,Manual,17.8,1399.0,68.0,3028.83
6048,2012.0,86000.0,First Owner,Individual,5.0,Diesel,Manual,19.01,1461.0,108.45,6663.44
6049,2009.0,141000.0,Second Owner,Individual,5.0,Petrol,Manual,19.7,796.0,46.3,1514.42
6050,2011.0,80000.0,Third Owner,Individual,5.0,Petrol,Manual,17.0,1497.0,118.0,
6051,2015.0,140000.0,First Owner,Individual,7.0,Diesel,Manual,16.0,2179.0,140.0,10298.04
6053,2014.0,110000.0,Second Owner,Individual,5.0,Diesel,Manual,23.4,1248.0,74.0,5270.16
6054,,100000.0,,Individual,5.0,Diesel,Manual,17.0,1405.0,1831.94,1453.84
6055,,80000.0,,Individual,5.0,Diesel,Manual,25.2,1248.0,74.0,7269.2
6056,2008.0,90000.0,Second Owner,Individual,5.0,Petrol,Manual,18.9,998.0,67.1,1635.57
6057,2016.0,44000.0,First Owner,Individual,5.0,Petrol,Manual,18.16,1196.0,86.8,6663.44
6058,2014.0,25000.0,First Owner,Individual,5.0,Petrol,Manual,23.1,998.0,67.04,
6059,2016.0,25000.0,First Owner,Individual,5.0,Petrol,Manual,15.29,1591.0,121.3,9692.27
6060,2016.0,35000.0,First Owner,Individual,5.0,Diesel,Manual,22.54,1396.0,88.73,9449.96
6061,2008.0,195000.0,Second Owner,Individual,5.0,Petrol,Manual,19.7,796.0,46.3,1211.53
6062,2017.0,60000.0,First Owner,Individual,5.0,Diesel,Manual,22.54,1396.0,88.73,
6063,2004.0,50000.0,First Owner,Individual,4.0,Petrol,Manual,16.1,796.0,37.0,605.77
6064,2012.0,100000.0,Second Owner,Individual,5.0,Diesel,Manual,22.32,1582.0,126.32,5149.02
6065,2015.0,70000.0,First Owner,Individual,5.0,Diesel,Manual,20.4,1248.0,91.7,6057.67
6066,2017.0,30000.0,First Owner,Individual,5.0,Diesel,Manual,25.2,1248.0,74.0,7148.05
6067,2016.0,27000.0,First Owner,Individual,5.0,Petrol,Manual,23.1,11193.0,67.04,5573.04
6068,2020.0,5000.0,First Owner,Individual,5.0,Petrol,Manual,21.21,1197.0,81.8,7002.67
6069,2012.0,110000.0,Second Owner,Individual,7.0,Diesel,Manual,20.77,1248.0,88.76,6663.44
6070,2013.0,80000.0,Second Owner,Individual,5.0,Petrol,Manual,16.8,1497.0,116.3,5633.63
6071,2018.0,80000.0,First Owner,Individual,7.0,Diesel,Manual,16.5,1493.0,70.0,
6072,2014.0,110000.0,First Owner,Individual,5.0,Diesel,Manual,20.8,1461.0,65.0,3028.83
6074,2017.0,20000.0,First Owner,Individual,5.0,Petrol,Manual,21.21,1197.0,81.8,6663.44
6075,2018.0,20000.0,First Owner,Individual,5.0,Petrol,Manual,24.7,796.0,47.3,3271.14
6077,2017.0,20000.0,First Owner,Individual,5.0,Petrol,Manual,20.4,1197.0,1911.38,6057.67
6078,2019.0,15000.0,First Owner,Individual,7.0,Diesel,Manual,17.6,2179.0,147.94,15144.17
6079,2013.0,31377.0,Second Owner,Individual,5.0,Petrol,Manual,18.5,1197.0,82.85,3876.91
6080,2018.0,50000.0,First Owner,Individual,5.0,Diesel,Manual,28.4,1248.0,74.02,8480.74
6081,2015.0,60000.0,First Owner,Individual,5.0,Petrol,Manual,20.51,998.0,67.04,3513.45
6083,2012.0,60000.0,First Owner,Individual,5.0,Petrol,Manual,19.4,1198.0,86.8,3210.56
6084,,5000.0,,Individual,5.0,Petrol,Automatic,21.4,1197.0,83.1,10055.73
6085,2017.0,60000.0,First Owner,Individual,7.0,Diesel,Manual,14.1,2179.0,1072.34,9692.27
6086,2011.0,25000.0,Second Owner,Individual,5.0,Petrol,Manual,19.7,796.0,46.3,1938.45
6087,2018.0,30000.0,First Owner,Individual,5.0,Petrol,Manual,25.17,799.0,53.3,4058.64
6088,2017.0,80000.0,Second Owner,Individual,5.0,Petrol,Manual,20.63,1198.0,67.0,3985.95
6089,2017.0,75000.0,First Owner,Individual,5.0,Diesel,Manual,24.3,1248.0,88.5,9389.39
6090,2020.0,32000.0,First Owner,Individual,5.0,Petrol,Manual,20.14,1197.0,81.86,6348.44
6091,2015.0,40000.0,First Owner,Individual,5.0,Petrol,Manual,22.74,796.0,47.3,2968.26
6092,2012.0,93000.0,Second Owner,Individual,5.0,Petrol,Manual,17.0,1197.0,80.0,3331.72
6093,2015.0,50000.0,Second Owner,Individual,5.0,Diesel,Manual,21.19,1396.0,88.73,7390.36
6094,2015.0,60000.0,First Owner,Individual,5.0,Diesel,Manual,26.59,1248.0,1917.37,
6095,2014.0,60000.0,Second Owner,Individual,7.0,Diesel,Manual,20.77,,,8286.89
6096,2014.0,64000.0,Second Owner,Individual,7.0,Diesel,Manual,20.77,1248.0,88.8,8238.43
6097,,120000.0,,Individual,5.0,Diesel,Manual,20.45,1461.0,83.8,6057.67
6098,2014.0,120000.0,First Owner,Individual,5.0,Diesel,Manual,20.45,1461.0,83.8,6299.98
6102,2018.0,60000.0,First Owner,Individual,5.0,Diesel,Manual,24.4,1498.0,98.63,8177.85
6103,2011.0,81500.0,Second Owner,Individual,5.0,Diesel,Automatic,14.84,2143.0,167.62,16355.71
6104,2011.0,80000.0,First Owner,Individual,5.0,Diesel,Automatic,15.8,2148.0,170.0,16355.71
6105,,5000.0,,Individual,5.0,Petrol,Manual,21.21,1197.0,81.8,8177.85
6106,2016.0,30000.0,First Owner,Individual,5.0,Diesel,Manual,21.7,1498.0,98.96,8783.62
6107,2019.0,15000.0,First Owner,Individual,5.0,Diesel,Manual,20.0,1497.0,115.0,
6108,2018.0,40000.0,First Owner,Dealer,5.0,Diesel,Manual,20.14,1498.0,88.0,7874.97
6109,2019.0,16500.0,First Owner,Dealer,5.0,Petrol,Manual,17.0,1197.0,110.0,13205.72
6110,2017.0,67000.0,First Owner,Individual,5.0,Diesel,Automatic,17.01,1582.0,126.2,13326.87
6111,2017.0,48000.0,First Owner,Individual,5.0,Diesel,Manual,22.54,1396.0,88.73,8117.28
6112,2018.0,35000.0,First Owner,Individual,5.0,Diesel,Manual,22.54,1396.0,88.73,9449.96
6113,2017.0,,First Owner,Individual,5.0,Diesel,Manual,,1248.0,88.5,8723.04
6114,2018.0,52000.0,First Owner,Dealer,5.0,Petrol,Manual,22.0,1197.0,81.8,7390.36
6115,2017.0,29000.0,First Owner,Individual,5.0,Diesel,Manual,22.0,1498.0,108.495,7269.2
6116,2016.0,,First Owner,Individual,5.0,Diesel,Manual,,1461.0,83.8,6481.71
6117,2009.0,110000.0,First Owner,Individual,5.0,Petrol,Manual,20.36,11203.0,78.9,1720.38
6118,2017.0,23000.0,First Owner,Individual,5.0,Petrol,Manual,21.4,1197.0,83.1,6239.4
6119,2016.0,40000.0,First Owner,Dealer,5.0,Petrol,Manual,20.63,1198.0,67.0,4058.64
6120,2017.0,60000.0,First Owner,Individual,5.0,Diesel,Manual,21.38,1396.0,88.7,11594.38
6121,2017.0,127000.0,First Owner,Individual,5.0,Diesel,Manual,28.4,1248.0,74.02,7329.78
6122,2013.0,140000.0,First Owner,Individual,5.0,Diesel,Manual,21.02,1248.0,88.76,3828.45
6123,2019.0,5000.0,First Owner,Individual,7.0,Petrol,Manual,20.0,192.0,72.0,
6124,2015.0,70000.0,First Owner,Individual,5.0,Diesel,Manual,26.59,1248.0,74.0,6299.98
6125,2011.0,60000.0,First Owner,Individual,5.0,Diesel,Manual,19.3,1248.0,73.9,3210.56
6127,2016.0,40000.0,Second Owner,Individual,5.0,Petrol,Manual,16.2,13256.0,74.0,4664.41
6128,2009.0,70000.0,Second Owner,Individual,5.0,Petrol,Manual,18.9,1061.0,67.0,
6129,2009.0,35000.0,First Owner,Individual,5.0,Petrol,Manual,19.81,1086.0,1902.39,1938.45
6130,2012.0,50000.0,Third Owner,Individual,5.0,Diesel,Manual,19.09,16609.0,69.0,2180.76
6131,,42462.0,,Dealer,5.0,Petrol,Manual,16.8,,,5815.36
6132,,54723.0,,Dealer,5.0,Diesel,Manual,25.2,1248.0,74.0,5694.21
6133,2018.0,20375.0,First Owner,Dealer,5.0,Petrol,Manual,20.89,12704.0,81.8,5815.36
6134,2013.0,43978.0,Second Owner,Dealer,5.0,Diesel,Manual,28.4,1248.0,74.0,5451.9
6135,2017.0,28832.0,First Owner,Dealer,5.0,Diesel,Manual,23.4,1248.0,74.0,6299.98
6136,2019.0,3177.0,First Owner,Dealer,5.0,Petrol,Manual,18.5,1194.0,94.93,8480.74
6137,,39414.0,,Dealer,5.0,Petrol,Manual,18.9,1197.0,81.86,4846.14
6138,2012.0,30078.0,First Owner,Dealer,5.0,Petrol,Manual,15.3,1396.0,70.0,2423.07
6139,2012.0,44588.0,First Owner,Dealer,5.0,Petrol,Manual,21.1,814.0,55.2,3028.83
6140,2015.0,49907.0,First Owner,Dealer,5.0,Petrol,Manual,21.63,998.0,67.04,4846.14
6141,2013.0,67082.0,Second Owner,Dealer,5.0,Petrol,Manual,21.21,1197.0,81.8,4494.79
6142,2016.0,40000.0,First Owner,Individual,5.0,Petrol,Manual,18.9,1197.0,82.0,5451.9
6143,2016.0,112879.0,Second Owner,Dealer,5.0,Diesel,Manual,23.0,1498.0,98.96,6905.74
6144,2013.0,80000.0,Second Owner,Individual,5.0,Petrol,Manual,19.4,1198.0,86.8,
6145,2017.0,25000.0,First Owner,Individual,5.0,Petrol,Manual,18.6,1197.0,81.83,7511.51
6146,2018.0,10200.0,First Owner,Individual,5.0,Petrol,Manual,17.4,1497.0,117.6,11497.46
6147,2018.0,60000.0,First Owner,Individual,7.0,Diesel,Manual,16.5,16550.0,70.0,9086.5
6148,2017.0,20000.0,Second Owner,Individual,5.0,Petrol,Manual,23.1,998.0,67.04,4240.37
6149,2017.0,60000.0,First Owner,Individual,7.0,Diesel,Manual,16.0,2179.0,140.0,15144.17
6150,2016.0,30000.0,Third Owner,Individual,5.0,Petrol,Manual,23.01,999.0,67.0,3271.14
6151,2013.0,40000.0,Second Owner,Individual,5.0,Petrol,Manual,21.1,814.0,55.2,2847.1
6152,2016.0,60000.0,First Owner,Individual,5.0,Petrol,Manual,20.4,1197.0,81.8,6057.67
6153,2012.0,111000.0,First Owner,Individual,5.0,Petrol,Manual,19.7,796.0,46.3,2665.37
6154,2014.0,70000.0,Second Owner,Individual,5.0,Diesel,Manual,23.4,1248.0,74.0,4603.83
6156,2010.0,100000.0,Third Owner,Individual,5.0,Petrol,Manual,20.92,998.0,67.1,1938.45
6157,2017.0,25000.0,First Owner,Individual,5.0,Petrol,Manual,20.3,998.0,68.05,4107.1
6158,2011.0,,First Owner,Individual,5.0,Petrol,Manual,,1596.0,99.6,2786.52
6159,2016.0,35000.0,First Owner,Individual,6.0,Diesel,Manual,25.32,1198.0,77.0,4846.14
6160,2018.0,25000.0,First Owner,Individual,5.0,Diesel,Manual,25.4,,,5694.21
6161,2003.0,58000.0,First Owner,Individual,4.0,Petrol,Manual,16.1,796.0,37.0,545.19
6162,2019.0,20000.0,First Owner,Individual,5.0,Petrol,Manual,19.4,1194.0,94.93,6966.32
6163,2019.0,1300.0,First Owner,Individual,5.0,Petrol,Manual,22.5,999.0,67.0,3937.48
6164,1997.0,120000.0,Second Owner,Individual,4.0,Petrol,Manual,16.1,796.0,37.0,605.77
6165,2014.0,15000.0,First Owner,Individual,5.0,Petrol,Manual,20.51,998.0,67.04,4240.37
6166,2017.0,9000.0,First Owner,Dealer,5.0,Diesel,Automatic,13.6,1999.0,177.0,32844.68
6167,2019.0,20000.0,First Owner,Dealer,5.0,Petrol,Automatic,22.37,2487.0,214.56,62393.99
6168,2017.0,45000.0,First Owner,Dealer,5.0,Diesel,Automatic,19.33,1999.0,177.0,38769.08
6169,2015.0,110000.0,First Owner,Individual,7.0,Diesel,Manual,14.1,2179.0,147.94,6094.02
6170,2019.0,20000.0,First Owner,Individual,5.0,Diesel,Automatic,18.0,1969.0,190.0,46038.28
6171,2016.0,68089.0,First Owner,Trustmark Dealer,5.0,Petrol,Automatic,19.16,2494.0,157.7,24230.68
6173,2018.0,38817.0,First Owner,Dealer,5.0,Diesel,Manual,27.39,1248.0,74.0,8965.35
6174,2016.0,56494.0,First Owner,Trustmark Dealer,5.0,Petrol,Manual,18.2,1199.0,88.7,6663.44
6175,2013.0,79328.0,Second Owner,Trustmark Dealer,7.0,Diesel,Manual,12.99,2494.0,100.6,9086.5
6176,2019.0,5621.0,First Owner,Trustmark Dealer,5.0,Petrol,Automatic,22.0,1197.0,81.8,7874.97
6177,2017.0,25538.0,First Owner,Trustmark Dealer,5.0,Petrol,Manual,16.78,1496.0,88.73,
